Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly
1317728,RefSeq,NC_000016.10,83899145,83915489,+,NP_036345.2,"malonyl-CoA decarboxylase, mitochondrial",Homo sapiens,,GCF_000001405.39
1317728,RefSeq,NG_009079.1,5021,21365,+,NP_036345.2,"malonyl-CoA decarboxylase, mitochondrial",Homo sapiens,,
1317728,RefSeq,NM_012213.3,31,1512,+,NP_036345.2,"malonyl-CoA decarboxylase, mitochondrial",Homo sapiens,,
1317728,Swiss-Prot,N/A,,,,O95822.3,"Malonyl-CoA decarboxylase, mitochondrial",Homo sapiens,,
1317728,INSDC,BC052592.1,21,1502,+,AAH52592.1,malonyl-CoA decarboxylase,Homo sapiens,,
1317728,INSDC,CH471114.2,9473710,9490055,+,EAW95513.1,malonyl-CoA decarboxylase,Homo sapiens,,
1317728,INSDC,CM000267.1,68233796,68250141,+,EAW95513.1,malonyl-CoA decarboxylase,Homo sapiens,,
1350887,INSDC,AF090834.1,1,1482,+,AAD48994.1,malonyl coenzyme A decarboxylase,Homo sapiens,,
31310050,RefSeq,NC_036895.1,69571526,69587854,+,XP_523518.3,"malonyl-CoA decarboxylase, mitochondrial",Pan troglodytes,,GCF_002880755.1
31310050,RefSeq,XM_523518.7,33,1514,+,XP_523518.3,"malonyl-CoA decarboxylase, mitochondrial",Pan troglodytes,,
31310050,INSDC,GABC01008719.1,14,1495,+,JAA02619.1,malonyl-CoA decarboxylase,Pan troglodytes,,
31841381,RefSeq,NC_018440.2,75187252,75203882,+,XP_004058114.1,"malonyl-CoA decarboxylase, mitochondrial",Gorilla gorilla gorilla,,GCF_000151905.2
31841381,RefSeq,XM_004058066.2,32,1513,+,XP_004058114.1,"malonyl-CoA decarboxylase, mitochondrial",Gorilla gorilla gorilla,,
29131551,RefSeq,NC_027884.1,83912793,83929162,+,XP_003820926.1,"LOW QUALITY PROTEIN: malonyl-CoA decarboxylase, mitochondrial",Pan paniscus,,GCF_000258655.2
29131551,RefSeq,XM_003820878.3,1,1485,+,XP_003820926.1,"LOW QUALITY PROTEIN: malonyl-CoA decarboxylase, mitochondrial",Pan paniscus,,
23298017,RefSeq,NC_019817.1,156890532,156906303,+,XP_003272531.1,"malonyl-CoA decarboxylase, mitochondrial",Nomascus leucogenys,,GCF_000146795.2
23298017,RefSeq,NW_004087880.1,78621991,78637762,+,XP_003272531.1,"malonyl-CoA decarboxylase, mitochondrial",Nomascus leucogenys,,GCF_000146795.2
23298017,RefSeq,XM_003272483.3,16,1497,+,XP_003272531.1,"malonyl-CoA decarboxylase, mitochondrial",Nomascus leucogenys,,
51502870,RefSeq,NC_023646.1,69312978,69329102,+,XP_007992389.1,"malonyl-CoA decarboxylase, mitochondrial",Chlorocebus sabaeus,,GCF_000409795.2
51502870,RefSeq,NW_006735242.1,39022703,39038827,+,XP_007992389.1,"malonyl-CoA decarboxylase, mitochondrial",Chlorocebus sabaeus,,GCF_000409795.2
51502870,RefSeq,XM_007994198.1,1,1566,+,XP_007992389.1,"malonyl-CoA decarboxylase, mitochondrial",Chlorocebus sabaeus,,
194450188,RefSeq,NC_037688.1,41541577,41557554,+,XP_025226707.1,"malonyl-CoA decarboxylase, mitochondrial",Theropithecus gelada,,GCF_003255815.1
194450188,RefSeq,XM_025370922.1,35,1516,+,XP_025226707.1,"malonyl-CoA decarboxylase, mitochondrial",Theropithecus gelada,,
30054552,RefSeq,NC_018171.2,65841607,65857578,+,XP_003917292.1,"malonyl-CoA decarboxylase, mitochondrial isoform X2",Papio anubis,,GCF_000264685.3
30054552,RefSeq,XM_003917243.4,13,1494,+,XP_003917292.1,"malonyl-CoA decarboxylase, mitochondrial isoform X2",Papio anubis,,
79299821,RefSeq,NW_011999143.1,6240913,6257748,-,XP_011941035.1,"malonyl-CoA decarboxylase, mitochondrial",Cercocebus atys,,GCF_000955945.1
79299821,RefSeq,XM_012085645.1,42,1523,+,XP_011941035.1,"malonyl-CoA decarboxylase, mitochondrial",Cercocebus atys,,
